Sweden_Motala_HG MotalaAA
Germany_Lech_BellBeaker UNTA85_1343
Germany_Lech_EBA UNTA85_1412
Germany_Lech_BellBeaker WEHR_1192SkA
Germany_Lech_EBA WEHR_1192SkB_d
Germany_Lech_EBA_mother.WEHR_1415child WEHR_1415adult_d
Germany_Lech_EBA WEHR_1415child
Germany_Lech_EBA WEHR_1586_d
Austria_EN_LBK_lc I6912_all_published
Iberia_Roman I3981
Iberia_Roman_published I4055_published
Iberia_BellBeaker_o_published I4246_published
Iberia_BA I2472
Iberia_BA I1310
Iberia_HG_brother.I0585 I0843
Iberia_BA I1977
Iberia_Iberian I3322
Iberia_Iberian I3324
Iberia_C I3432
Iberia_BA I3486
Iberia_BA I3487
Iberia_BA I3488
Iberia_BA_Cogotas I3490
Iberia_BA_Cogotas I3491
Iberia_BA_Cogotas I3493
Iberia_Visigoth_Barcelona I3775
Iberia_Visigoth_Barcelona I3776
Iberia_Visigoth_Barcelona I3777
Iberia_Visigoth_Barcelona I3778
Iberia_NazariPeriod_Muslim I3808
Iberia_NazariPeriod_Muslim_African I3810
Iberia_Visigoth_Barcelona I3866
Iberia_Iberian I3323
Iberia_BA I3756
Iberia_Celtiberian I3759
Iberia_Roman I3980
Iberia_Roman I3983
Iberia_Roman_brother.I3983 I4054
Iberia_BA I1836
Iberia_BA I1840
Iberia_BA I4562
Iberia_BA_1d.rel.I4561 I4563
Iberia_C I4565
Iberia_C I3238
Iberia_LN I5429
Iberia_EBA I6618
Iberia_HG I3209
Iberia_BA I3484
Iberia_Roman I6490
Iberia_C I3243
Iberia_Roman I3982
Iberia_C I1842
Iberia_C I1845
Iberia_C I1846
Iberia_C I1978
Iberia_North_BA_Africa_published I7162_published
Iberia_BA_1d.rel.I4560 I4558
Iberia_BA I4559
Iberia_BA I4560
Iberia_BA I4561
Iberia_NazariPeriod_Muslim_published I3809_published
Iberia_BellBeaker I0839
Iberia_NazariPeriod_Muslim_o_published I7423_published
Iberia_NazariPeriod_Muslim I7424
Iberia_NazariPeriod_Muslim I7425
Iberia_MN I7549
Iberia_MN I7550
Iberia_LN I7600
Iberia_C I7602
Iberia_C I7603
Iberia_C I7605
Iberia_LBA I7687
Iberia_LBA I7688
Iberia_BA I7691
Iberia_BA I7692
Iberia_MN I7547
Iberia_LN_C I7587
Iberia_C I7606
Iberia_C I7604
Iberia_Carolingian I7672
Iberia_Carolingian I7673
Iberia_Carolingian I7674
Iberia_Carolingian I7675
Iberia_Carolingian I7676
Iberia_MN_published I7679_published
Gibraltar_BA I10939
Gibraltar_BA I10940
Gibraltar_BA I10941
Iberia_MBA I8045
Iberia_BA I8048
Iberia_BA I8136
Iberia_BA I8144
Iberia_NazariPeriod_LateMuslim I8145
Iberia_NazariPeriod_LateMuslim I8146
Iberia_NazariPeriod_LateMuslim I8147
Iberia_LN_C I8148
Iberia_LN_C I8149
Iberia_LN_C I8150
Iberia_LN_C I8153
Iberia_LN_C I8154
Iberia_LN_C I8156
Iberia_LN_C I8158
Iberia_LN_C I8197
Iberia_LN_C I8198
Iberia_LN_C I8199
Iberia_Greek I8338
Iberia_Greek I8339
Iberia_Roman I8340
Iberia_Roman I8341
Iberia_LRoman_Medieval I8343
Iberia_Roman I8344
Iberia_N_C I8364
Iberia_N_C I8365
Iberia_Roman I8474
Iberia_Hellenistic I8475
Iberia_BA I8566
Iberia_BA I8567
Iberia_C I8568
Iberia_BA I8570
Iberia_BA_contam I8571_published
Iberia_C I1976
Iberia_BA I2471
Iberia_C I2473
Iberia_C I3214
Iberia_C I3239
Iberia_C I3277
Iberia_Iberian I3326
Iberia_Iberian I3327
Iberia_BA_Cogotas I3492
Iberia_Celtiberian I3757
Iberia_Celtiberian I3758
Iberia_BellBeaker I6622
Iberia_BellBeaker I8131
Iberia_Roman I8202
Iberia_Hellenistic I8203
Iberia_Hellenistic I8204
Iberia_Hellenistic_B I8205
Iberia_Hellenistic I8206
Iberia_Hellenistic_B I8208
Iberia_Roman I8209
Iberia_Roman I8210
Iberia_Roman I8211
Iberia_Roman I8212
Iberia_Roman_o I8214
Iberia_Roman_o I8215
Iberia_Roman I8216
Iberia_BA I1312_d
Iberia_BA I1313_d
Iberia_C I11300
Iberia_C I11301
Iberia_LN_C I11601
Iberia_LN_C I11614
Iberia_LN_C I11604
Iberia_LN_C I11592
Iberia_LN_C I11605
Iberia_LN_C I11599
Iberia_MN_Cadiz I8134
Iberia_Medieval I10892
Iberia_Greek2 I10866
Iberia_Medieval I10895
Iberia_Greek1 I10865
Iberia_Medieval_published I10897_published
Iberia_Medieval_published I10851_published
Iberia_Medieval_published I10852_published
Iberia_Medieval_published I10853_published
Iberia_Visigoth_Girona_o_published I12030_published
Iberia_Visigoth_Girona I12031
Iberia_Visigoth_Girona_published I12032_published
Iberia_Visigoth_Girona_published I12033_published
Iberia_Visigoth_Girona I12034
Iberia_C I11249
Iberia_C I11248
Iberia_Tartessian_published I12171_published
Iberia_Visigoth_Girona I12163
Iberia_Visigoth_Girona_1d.rel.I12032_published I12164_published
Iberia_Visigoth_Girona I12162
Iberia_BA VAD002
Iberia_BA VAD003
Iberia_BA VAD004
Iberia_BA VAD005
Iberia_C EHU001
Iberia_C EHU002
Iberia_IA I12410
Iberia_Islamic I12514
Iberia_Islamic I12516
Iberia_Islamic I12515
Iberia_IA I12878
Iberia_IA I12879
Iberia_IA I12877
Iberia_BA I12855
Iberia_EBA I12809
Iberia_Tartessian I12561
Iberia_Islamic I12648
Iberia_Islamic I12649
Iberia_Islamic I12647
Iberia_Islamic I12645
Iberia_Islamic I12644
Iberia_Iberian_published I3320_published
Iberia_Iberian_published I3321_published
Iberia_unknown_published I3496_published
Iberia_BA_published I2470_published
Iberia_Roman_o_published I6491_published
Iberia_BA_published_lc I8140_published_d
Estonia_Medieval.SG s19_0LS03_1.SG
Estonia_IA.SG s19_0LS10_1.SG
Estonia_BA.SG s19_0LS11_1.SG
Estonia_Medieval.SG s19_IIa_1.SG
Estonia_Medieval.SG s19_IIf_1.SG
Estonia_Medieval.SG s19_IIg_1.SG
Estonia_Medieval.SG s19_IIIt_1.SG
Estonia_Medieval.SG s19_ILS01_1.SG
Estonia_Medieval.SG s19_IVLS09KT_1.SG
Estonia_IA.SG s19_V10_2.SG
Estonia_IA.SG s19_V11_1.SG
Estonia_IA.SG s19_V12_1.SG
Estonia_BA.SG s19_V14_2.SG
Estonia_BA.SG s19_V16_1.SG
Estonia_BA.SG s19_V9_2.SG
Russia_IA.SG s19_VII15_1.SG
Estonia_IA.SG s19_VII4_1.SG
Russia_IA.SG s19_VIII5_2.SG
Russia_IA.SG s19_VIII7_1.SG
Russia_IA.SG s19_VIII8_1.SG
Russia_IA.SG s19_VIII9_1.SG
Estonia_BA.SG s19_X02_1.SG
Estonia_IA.SG s19_X04_1.SG
Estonia_BA.SG_1d.rel.s19_V14_2.SG s19_X05_1.SG
Estonia_BA.SG s19_X08_1.SG
Estonia_BA.SG s19_X10_1.SG
Estonia_BA.SG s19_X11_1.SG
Estonia_BA.SG s19_X12_1.SG
Estonia_BA.SG s19_X14_1.SG
Estonia_BA.SG s19_X15_2.SG
Estonia_BA.SG s19_X17_2.SG
Estonia_BA.SG s19_X20_1.SG
Sweden_Megalithic.SG ans003.SG
Sweden_Megalithic.SG ans005.SG
Sweden_Megalithic.SG ans008.SG
Sweden_Megalithic.SG ans014.SG
Sweden_Megalithic.SG ans016.SG
Sweden_Megalithic.SG ans017.SG
Sweden_Megalithic.SG bal004.SG
Ireland_Megalithic.SG car004-ALL_DATA.SG
Czech_Megalithic.SG kol2BE.SG
Czech_Megalithic.SG kol6-ALL_DATA.SG
Sweden_Megalithic.SG lai001.SG
Scotland_Megalithic.SG mid001.SG
Scotland_Megalithic.SG mid002.SG
Ireland_Megalithic.SG prs002-ALL_DATA.SG
Ireland_Megalithic.SG prs003-ALL_DATA.SG
Ireland_Megalithic.SG prs006-ALL_DATA.SG
Ireland_Megalithic.SG prs009-ALL_DATA.SG
Ireland_Megalithic.SG prs010-ALL_DATA.SG
Ireland_Megalithic.SG prs012-ALL_DATA.SG
Ireland_Megalithic.SG prs013-ALL_DATA.SG
Ireland_Megalithic.SG prs016-ALL_DATA.SG
Ireland_Megalithic.SG_father.prs002âˆ’ALL_DATA.SG prs017-ALL_DATA.SG
Ireland_Megalithic.SG prs018-ALL_DATA.SG
