Sweden_Motala_HG MotalaAA
England_N_all.SG I6762_all.SG
England_N.SG I6762.SG
Germany_LBA_Halberstadt_published I0099_published
Germany_EBA_Unetice_published I0047_published
Anatolia_N_published I1579_published
Anatolia_N_published I1581_published
Anatolia_N_published I1580_published
Anatolia_N_published I1585_published
Anatolia_N_published I1583_published
Anatolia_N_published I0727_published
Anatolia_N_published I0724_published
Iberia_C_published I0581_published_d
Anatolia_N_sister.I0736_published I0854_published
Anatolia_N_published I0723_published
Hungary_MN_LBK_published I2739_published
Hungary_LateC_Protoboleraz_published I2790_published
Hungary_LateC_Protoboleraz_published I2791_published
Hungary_EarlyC_Tiszapolgar_Bodrogkeresztur_published I2793_published
Germany_BellBeaker_published I0060_published
Bulgaria_N_published I1298_published
Hungary_MN_Vinca_published I1895_published
Hungary_LN_Lengyel_published I1902_published
Hungary_LN_Lengyel_published I1905_published
Hungary_C_Balaton_Lasinja_published I1907_published
Hungary_EN_Starcevo_o_published I1878_published
Hungary_LateC_Baden_published I2366_published
Hungary_LateC_Baden_published I2367_published
Hungary_MN_ALPc_III_published I2384_published
Germany_EN_LBK_published I0046_published
Germany_EN_LBK_published I0659_published
Germany_EN_LBK_published I0048_published
Germany_EN_LBK_published I1550_published
Germany_EN_LBK_published I0821_published
Germany_EN_LBK_published I0057_published
Germany_EN_LBK_published_1d.rel.I2038 I2005_published
Germany_EN_LBK_published I2008_published
Germany_EN_LBK_published_1d.or.2d.rel.I2036 I2016_published
Germany_EN_LBK_published I2017_published
Germany_EN_LBK_published I2021_published
Germany_EN_LBK_published I2026_published
Germany_EN_LBK_published I2029_published
Germany_EN_LBK_published I2030_published
Germany_EN_LBK_published I2032_published
Germany_EN_LBK_published I2036_published
Germany_EN_LBK_published I2037_published
Germany_EN_LBK_published I2038_published
Hungary_EN_Starcevo I1880
Germany_N_published I2012_published
Iberia_C_published I3273_published
Ukraine_N_o2_published I3719_published
Iberia_C_published I3276_published
Ukraine_EBA_published I5884_published
Hungary_MN_ALBK_Szakalhat I2357_all
